Satellite name,Ground Station name,Start time (UTC),Stop time (UTC),Duration (s),Data received (Mb)
Sentinel-1-1,Vladivostok,2024-07-10 00:33:20,2024-07-10 00:41:40,500,437.1312745776104
Sentinel-1-1,Vladivostok,2024-07-10 15:56:40,2024-07-10 16:00:00,200,174.85250983104416
Sentinel-1-1,Vladivostok,2024-07-10 17:43:20,2024-07-10 17:53:20,600,524.5575294931324
Sentinel-1-1,Vladivostok,2024-07-10 19:33:20,2024-07-10 19:45:00,700,611.9837844086545
Sentinel-1-1,Vladivostok,2024-07-10 21:23:20,2024-07-10 21:36:40,800,699.4100393241766
Sentinel-1-1,Vladivostok,2024-07-10 23:15:00,2024-07-10 23:26:40,700,611.9837844086545
Sentinel-1-1,Bengaluru,2024-07-10 00:20:00,2024-07-10 00:30:00,600,559.4062499998569
Sentinel-1-1,Bengaluru,2024-07-10 02:11:40,2024-07-10 02:23:20,700,652.640624999833
Sentinel-1-1,Bengaluru,2024-07-10 04:03:20,2024-07-10 04:15:00,700,652.640624999833
Sentinel-1-1,Bengaluru,2024-07-10 05:55:00,2024-07-10 06:05:00,600,559.4062499998569
Sentinel-1-1,Bengaluru,2024-07-10 19:20:00,2024-07-10 19:28:20,500,466.1718749998807
Sentinel-1-1,Bengaluru,2024-07-10 21:08:20,2024-07-10 21:20:00,700,652.640624999833
Sentinel-1-1,Bengaluru,2024-07-10 23:00:00,2024-07-10 23:11:40,700,652.640624999833
